chromosome,bin,bin_start,bin_end,esc_counts,npc_counts,F_score,putative_sites,region_id,esc_intensity,npc_intensity,intensity_ratio,log_ratio,fold_change_state,esc_alpha_post,esc_beta_post,npc_alpha_post,npc_beta_post,non_diff_emission,esc_emission,npc_emission,non_diff_posterior,esc_posterior,npc_posterior,hmm_state,dhms_state,dhms_region_id,state_posterior
chr1,3515,3515000,3516000,0,9,1.132660180802769e-06,True,68,1.0894587242220447e-07,9.442883116181646e-07,0.11537352637089314,-2.159580358757326,NPC enriched,1,9178869,10,10589976,0.15803978076431371,1.0932799787644464e-05,3.6839099833183973,0.009416199808484878,3.576752402900724e-10,0.9905837998338399,NPC_enriched,NPC_enriched,1,0.9905837998338399
chr1,3516,3516000,3517000,0,12,1.5102135744036922e-06,True,68,1.0894587242220447e-07,1.2275748051036138e-06,0.08874886643914857,-2.421944623224817,NPC enriched,1,9178869,13,10589973,0.07380845448590583,2.3427820865460492e-07,3.852383340982085,0.0031982700542572393,1.578449813708275e-11,0.9968017299299583,NPC_enriched,NPC_enriched,1,0.9968017299299583
chr1,3517,3517000,3518000,1,11,1.5373897830679246e-06,True,68,2.1789174484440895e-07,1.1331459739417975e-06,0.19228921061815524,-1.6487547349913352,NPC enriched,2,9178868,12,10589974,0.35102348078855555,8.15365744236634e-06,3.297945424287135,0.007066865429282636,1.1083202890589419e-09,0.9929331334623971,NPC_enriched,NPC_enriched,1,0.9929331334623971
chr1,4355,4355000,4356000,2,16,2.319672778934003e-06,True,171,3.2683761726661343e-07,1.6052901297508797e-06,0.20360034065451735,-1.5915963211513864,NPC enriched,3,9178867,17,10589969,0.33423628433259794,1.2980532266147674e-07,3.3315277936135606,0.022634976408055976,1.7788715101100397e-13,0.9773650235917661,NPC_enriched,NPC_enriched,2,0.9773650235917661
chr1,4356,4356000,4357000,0,20,2.517022624006154e-06,True,171,1.0894587242220447e-07,1.9830054543981457e-06,0.05493977446233007,-2.9015177034867032,NPC enriched,1,9178869,21,10589965,0.009689638657394285,8.299741263523631e-12,3.980621266546751,0.0002781023727177973,3.1387787406107845e-16,0.9997218976272819,NPC_enriched,NPC_enriched,2,0.9997218976272819
chr1,4357,4357000,4358000,1,10,1.4115386518676172e-06,True,171,2.1789174484440895e-07,1.038717142779981e-06,0.20977004794707846,-1.5617433580017055,NPC enriched,2,9178868,11,10589975,0.42494615539885977,2.7162024147744492e-05,3.1500809394059583,0.0008769609357850293,2.2781445763386746e-11,0.9991230390414335,NPC_enriched,NPC_enriched,2,0.9991230390414335
chr1,4358,4358000,4359000,2,15,2.1938216477336956e-06,True,171,3.2683761726661343e-07,1.5108612985890634e-06,0.21632536194542465,-1.5309716993349518,NPC enriched,3,9178867,16,10589970,0.3936335182956886,4.191873742699761e-07,3.212732951503236,0.005452522921343555,1.40048367391155e-11,0.9945474770646516,NPC_enriched,NPC_enriched,2,0.9945474770646516
chr1,4678,4678000,4679000,17,0,2.6014647776971835e-06,True,225,1.9610257035996804e-06,9.442883116181646e-08,20.767234746760764,3.0333764921328843,ESC enriched,18,9178852,1,10589985,0.005718905429491945,3.988562753191784,8.164149927744603e-12,0.0033337017016259658,0.9966662982983736,4.813766878782605e-16,ESC_enriched,ESC_enriched,3,0.9966662982983736
chr1,4679,4679000,4680000,23,2,3.7713310792850397e-06,True,225,2.6147009381329075e-06,2.832864934854494e-07,9.229882109671452,2.222446275916556,ESC enriched,24,9178846,3,10589983,0.025010085520544977,3.9499803820736585,1.3420207444978414e-13,0.003940024999241814,0.9960599750007582,2.634604890201218e-18,ESC_enriched,ESC_enriched,3,0.9960599750007582
chr1,5008,5008000,5009000,65,8,1.0953586140797574e-05,True,260,7.190427579865496e-06,8.498594804563481e-07,8.460725267198832,2.1354348989269263,ESC enriched,66,9178804,9,10589977,0.0007124522513358718,3.998575662396392,1.7686872206852945e-34,2.492844943115275e-05,0.9999750715505688,4.302466013630832e-43,ESC_enriched,ESC_enriched,4,0.9999750715505688
chr1,5009,5009000,5010000,57,7,9.603516290680946e-06,True,260,6.31886060048786e-06,7.554306492945317e-07,8.364580661889754,2.124006203103303,ESC enriched,58,9178812,8,10589978,0.0015919874521967813,3.996816591495721,7.299913730329681e-32,8.040091057638948e-07,0.9999991959908943,5.988753875848528e-45,ESC_enriched,ESC_enriched,4,0.9999991959908943
