dhms_region_id,chromosome,region_start,region_end,dhms_state,n_bins,mean_state_posterior
1,chr1,3515000,3518000,NPC_enriched,3,0.9934395544087318
2,chr1,4355000,4359000,NPC_enriched,4,0.9926893593312833
3,chr1,4678000,4680000,ESC_enriched,2,0.9963631366495659
4,chr1,5008000,5014000,ESC_enriched,6,0.999860821390762
5,chr1,5906000,5908000,ESC_enriched,2,0.9991726392208942
6,chr1,6431000,6433000,ESC_enriched,2,0.9891990751967896
7,chr1,9264000,9266000,NPC_enriched,2,0.9834149956178151
8,chr1,9783000,9787000,ESC_enriched,4,0.9928277334190224
9,chr1,9833000,9837000,ESC_enriched,4,0.9872846795023589
10,chr1,12977000,12980000,ESC_enriched,3,0.9820398987541473
11,chr1,13110000,13114000,ESC_enriched,4,0.996176036056806
12,chr1,13916000,13921000,NPC_enriched,5,0.9772785353647606
13,chr1,14490000,14494000,ESC_enriched,4,0.9940904031743844
14,chr1,14886000,14890000,NPC_enriched,4,0.9883642887208821
15,chr1,15877000,15879000,ESC_enriched,2,0.9873367343251083
16,chr1,16078000,16079000,ESC_enriched,1,0.9991538232450885
17,chr1,18965000,18968000,NPC_enriched,3,0.9770414672091042
18,chr1,21945000,21950000,ESC_enriched,5,0.9955628879295817
19,chr1,22027000,22028000,NPC_enriched,1,0.9517852661098507
20,chr1,23715000,23719000,ESC_enriched,4,0.988644745983934
21,chr1,32441000,32442000,NPC_enriched,1,0.9517862974848249
22,chr1,34417000,34418000,ESC_enriched,1,0.9947148526344806
23,chr1,34578000,34582000,ESC_enriched,4,0.9928098962734694
24,chr1,34621000,34625000,ESC_enriched,4,0.994579511888985
25,chr1,34668000,34670000,ESC_enriched,2,0.9904012819713752
26,chr1,34690000,34699000,ESC_enriched,9,0.9958063152053531
27,chr1,34749000,34750000,ESC_enriched,1,0.9588031253559124
28,chr1,34874000,34875000,ESC_enriched,1,0.9878641435924022
29,chr1,36211000,36217000,ESC_enriched,6,0.9883175567225418
30,chr1,36708000,36711000,ESC_enriched,3,0.9839102095390899
31,chr1,38359000,38364000,NPC_enriched,5,0.9731814665025219
32,chr1,38378000,38440000,NPC_enriched,62,0.996161742498123
33,chr1,38542000,38545000,NPC_enriched,3,0.9663987621832538
34,chr1,39594000,39597000,ESC_enriched,3,0.9835556470481127
35,chr1,40268000,40271000,ESC_enriched,3,0.9892743414632558
36,chr1,40422000,40429000,NPC_enriched,7,0.9911120793605416
37,chr1,42436000,42437000,ESC_enriched,1,0.9690866821738804
38,chr1,42628000,42659000,ESC_enriched,31,0.9971387163616898
39,chr1,44496000,44498000,ESC_enriched,2,0.9794661170948062
40,chr1,47232000,47236000,NPC_enriched,4,0.9697306412750073
41,chr1,50458000,50461000,NPC_enriched,3,0.9736532765359912
42,chr1,50516000,50521000,NPC_enriched,5,0.9866620164617244
43,chr1,50574000,50578000,NPC_enriched,4,0.9985250258190672
44,chr1,50582000,50586000,NPC_enriched,4,0.9880666076536018
45,chr1,50588000,50599000,NPC_enriched,11,0.9990686083555551
46,chr1,50870000,50873000,ESC_enriched,3,0.9965508936986506
47,chr1,52445000,52447000,ESC_enriched,2,0.9575934928526639
48,chr1,55306000,55310000,ESC_enriched,4,0.9950243522855649
49,chr1,55350000,55352000,ESC_enriched,2,0.9999984936396302
50,chr1,56068000,56072000,NPC_enriched,4,0.9669948263502159
51,chr1,56113000,56117000,NPC_enriched,4,0.9860960943620292
52,chr1,56307000,56312000,NPC_enriched,5,0.9688903741632602
53,chr1,56912000,56931000,ESC_enriched,19,0.9993517659398746
54,chr1,57719000,57720000,ESC_enriched,1,0.9600315324674421
55,chr1,61572000,61575000,ESC_enriched,3,0.9976053268277959
56,chr1,62637000,62642000,ESC_enriched,5,0.995037082117743
57,chr1,63210000,63219000,NPC_enriched,9,0.9900798141330704
58,chr1,63226000,63231000,NPC_enriched,5,0.9990912779519909
59,chr1,65834000,65837000,NPC_enriched,3,0.9873472465726025
60,chr1,65888000,65890000,NPC_enriched,2,0.9839500164285699
61,chr1,65967000,65970000,NPC_enriched,3,0.9949355686262553
62,chr1,65992000,65996000,NPC_enriched,4,0.9905937079717517
63,chr1,66010000,66013000,NPC_enriched,3,0.9827592434235873
64,chr1,66026000,66028000,NPC_enriched,2,0.9667738743395583
65,chr1,69039000,69041000,ESC_enriched,2,0.9991094963186443
