dhms_region_id,chromosome,region_start,region_end,dhms_state,n_bins,mean_state_posterior,length_kb,annotation,overlapping_gene,overlapping_transcript,nearest_gene,distance_to_nearest_tss
1,chr1,3515000,3518000,NPC_enriched,3,0.9934395544087318,3.0,gene_body,Xkr4,NM_001011874,Xkr4,145079
2,chr1,4355000,4359000,NPC_enriched,4,0.9926893593312833,4.0,intergenic,,,Rp1,6616
3,chr1,4678000,4680000,ESC_enriched,2,0.9963631366495659,2.0,intergenic,,,Mrpl15,96807
4,chr1,5008000,5014000,ESC_enriched,6,0.999860821390762,6.0,gene_body,Rgs20,NM_001177795,Rgs20,49366
5,chr1,5906000,5908000,ESC_enriched,2,0.9991726392208942,2.0,promoter,Npbwr1,NM_010342,Npbwr1,479
6,chr1,6431000,6433000,ESC_enriched,2,0.9891990751967896,2.0,intergenic,,,St18,45311
7,chr1,9264000,9266000,NPC_enriched,2,0.9834149956178151,2.0,gene_body,Sntg1,NM_001290393,Sntg1,20091
8,chr1,9783000,9787000,ESC_enriched,4,0.9928277334190224,4.0,promoter,Sgk3,NM_177547,Sgk3,1657
9,chr1,9833000,9837000,ESC_enriched,4,0.9872846795023589,4.0,gene_body,Sgk3,NM_177547,Sgk3,51657
10,chr1,12977000,12980000,ESC_enriched,3,0.9820398987541473,3.0,promoter,Slco5a1,NM_172841,Slco5a1,2151
11,chr1,13110000,13114000,ESC_enriched,4,0.996176036056806,4.0,promoter,Prdm14,NM_001081209,Prdm14,377
12,chr1,13916000,13921000,NPC_enriched,5,0.9772785353647606,5.0,intergenic,,,Gm5523,146357
13,chr1,14490000,14494000,ESC_enriched,4,0.9940904031743844,4.0,intergenic,,,Eya1,196587
14,chr1,14886000,14890000,NPC_enriched,4,0.9883642887208821,4.0,gene_body,Trpa1,NM_001348288,Trpa1,16076
15,chr1,15877000,15879000,ESC_enriched,2,0.9873367343251083,2.0,promoter,Sbspon,NM_001033288,Sbspon,64
16,chr1,16078000,16079000,ESC_enriched,1,0.9991538232450885,1.0,promoter,4930444P10Rik,NM_001243238,4930444P10Rik,39
17,chr1,18965000,18968000,NPC_enriched,3,0.9770414672091042,3.0,intergenic,,,Tfap2d,121735
18,chr1,21945000,21950000,ESC_enriched,5,0.9955628879295817,5.0,promoter,Kcnq5,NM_023872,Kcnq5,407
